hour_utc,tent-1-derived.co2_trend_ppm_min,tent-1-derived.dew_point_c,tent-1-derived.fruiting_score,tent-1.co2_ppm,tent-1.humidity_pct,tent-1.light_lux,tent-1.temperature_c,tent-1.vpd_kpa,tent-2.co2_ppm,tent-2.humidity_pct,tent-2.light_lux,tent-2.temperature_c,tent-2.vpd_kpa
2026-05-24T16:00:00Z,,,,860.925,81.922,8753.375,22.346,0.488,798.925,81.73,8763.0,22.453,0.497
2026-05-24T18:00:00Z,5.996,18.054,92.6,897.287,86.315,4860.434,20.415,0.328,954.28,86.351,4859.205,20.432,0.328
2026-05-24T19:00:00Z,-1.401,17.739,94.102,802.7,87.644,3710.306,19.85,0.286,903.411,87.653,3712.039,19.861,0.286
2026-05-24T20:00:00Z,1.928,17.369,89.379,901.017,89.252,2357.195,19.181,0.239,872.678,89.253,2354.753,19.183,0.239
2026-05-24T21:00:00Z,0.888,17.037,86.825,946.386,90.517,1257.451,18.62,0.204,884.74,90.525,1255.366,18.632,0.204
2026-05-24T22:00:00Z,1.558,16.824,88.372,866.445,91.485,473.11,18.235,0.178,868.862,91.456,472.39,18.231,0.179
2026-05-24T23:00:00Z,-1.142,16.698,86.862,907.02,91.879,73.941,18.039,0.168,876.634,91.924,74.186,18.031,0.167
2026-05-25T00:00:00Z,-2.304,16.705,87.543,877.719,91.952,73.519,18.034,0.166,863.214,91.937,75.659,18.036,0.167
2026-05-25T01:00:00Z,-1.534,16.819,88.846,857.384,91.439,472.16,18.238,0.179,913.275,91.418,476.064,18.231,0.18
2026-05-25T02:00:00Z,0.477,17.053,87.895,904.077,90.558,1255.041,18.63,0.203,915.132,90.573,1251.267,18.628,0.202
2026-05-25T03:00:00Z,0.282,17.359,90.551,859.421,89.246,2358.203,19.174,0.239,896.737,89.269,2356.506,19.175,0.239
2026-05-25T04:00:00Z,0.695,17.741,93.8,808.719,87.672,3710.734,19.848,0.286,904.435,87.675,3712.205,19.869,0.286
2026-05-25T05:00:00Z,0.772,18.169,93.826,866.53,85.923,5218.022,20.61,0.342,829.393,85.882,5216.783,20.617,0.343
2026-05-25T06:00:00Z,-0.715,18.586,94.386,841.381,84.087,6781.906,21.387,0.405,889.115,84.065,6781.225,21.386,0.406
2026-05-25T07:00:00Z,-0.746,18.99,90.396,864.648,82.297,8289.662,22.152,0.473,877.606,82.295,8288.775,22.139,0.472
2026-05-25T08:00:00Z,2.428,19.343,87.168,867.452,80.777,9640.172,22.821,0.534,915.548,80.713,9642.85,22.828,0.536
2026-05-25T09:00:00Z,0.321,19.627,84.212,883.099,79.485,10744.11,23.378,0.59,886.31,79.481,10744.244,23.366,0.589
2026-05-25T10:00:00Z,-0.366,19.816,81.912,894.861,78.562,11526.087,23.766,0.631,858.945,78.556,11525.438,23.759,0.631
2026-05-25T11:00:00Z,1.24,19.908,80.77,901.617,78.066,11931.774,23.967,0.653,868.522,78.084,11930.267,23.964,0.653
2026-05-25T12:00:00Z,0.467,19.917,80.9,890.306,78.101,11931.726,23.968,0.652,869.796,78.113,11932.357,23.969,0.652
2026-05-25T13:00:00Z,-2.611,19.811,82.367,886.604,78.545,11526.321,23.765,0.631,889.877,78.553,11528.696,23.772,0.631
2026-05-25T14:00:00Z,-2.121,19.607,84.43,866.006,79.453,10747.256,23.364,0.59,941.866,79.458,10746.762,23.366,0.59
2026-05-25T15:00:00Z,1.267,19.333,86.821,876.115,80.727,9641.559,22.82,0.536,912.462,80.761,9645.752,22.824,0.535
2026-05-25T16:00:00Z,-0.494,19.0,90.405,864.695,82.372,8291.474,22.145,0.47,868.751,82.313,8289.509,22.143,0.472
2026-05-25T17:00:00Z,1.841,18.6,92.139,919.774,84.105,6780.242,21.397,0.405,883.384,84.12,6782.17,21.383,0.405
2026-05-25T18:00:00Z,3.205,18.175,92.064,918.976,85.934,5220.106,20.612,0.342,892.967,85.912,5221.885,20.612,0.342
2026-05-25T19:00:00Z,-1.928,17.756,93.06,837.066,87.66,3710.947,19.864,0.286,832.805,87.69,3711.65,19.86,0.286
2026-05-25T20:00:00Z,-2.991,17.36,91.929,825.085,89.233,2357.568,19.176,0.239,865.352,89.199,2358.574,19.182,0.24
2026-05-25T21:00:00Z,3.513,17.051,89.317,864.43,90.531,1254.438,18.631,0.203,888.004,90.534,1252.814,18.629,0.203
2026-05-25T22:00:00Z,-2.312,16.815,86.374,930.89,91.461,472.39,18.23,0.179,936.847,91.441,473.989,18.231,0.179
2026-05-25T23:00:00Z,-1.54,16.699,86.503,911.491,91.892,72.958,18.039,0.168,889.497,91.914,77.615,18.038,0.167
2026-05-26T00:00:00Z,1.745,16.696,85.775,932.939,91.928,75.095,18.029,0.167,938.859,91.931,74.092,18.031,0.167
2026-05-26T01:00:00Z,0.265,16.813,88.135,877.696,91.445,467.179,18.231,0.179,934.617,91.435,472.816,18.241,0.18
2026-05-26T02:00:00Z,-0.529,17.058,89.77,855.563,90.532,1257.229,18.639,0.203,947.743,90.566,1256.619,18.637,0.203
2026-05-26T03:00:00Z,-3.099,17.356,90.1,872.599,89.255,2356.151,19.17,0.239,877.711,89.242,2357.717,19.18,0.239
2026-05-26T04:00:00Z,2.318,17.745,89.978,930.676,87.647,3709.347,19.856,0.286,941.971,87.626,3713.449,19.847,0.287
2026-05-26T05:00:00Z,-0.857,18.147,93.821,866.714,85.901,5221.193,20.593,0.342,872.092,85.939,5220.085,20.603,0.341
2026-05-26T06:00:00Z,2.599,18.586,92.063,907.208,84.068,6781.384,21.391,0.406,858.242,84.09,6778.59,21.386,0.405
2026-05-26T07:00:00Z,2.014,18.996,89.368,897.033,82.337,8291.273,22.149,0.471,873.01,82.302,8284.897,22.152,0.472
2026-05-26T08:00:00Z,-4.467,19.348,89.335,802.724,80.782,9638.976,22.826,0.534,912.479,80.744,9640.138,22.824,0.535
2026-05-26T09:00:00Z,1.372,19.621,83.902,907.639,79.456,10745.789,23.379,0.591,822.687,79.437,10748.154,23.363,0.591
2026-05-26T10:00:00Z,-0.214,19.807,81.449,908.386,78.556,11527.414,23.76,0.631,877.001,78.52,11527.741,23.767,0.632
2026-05-26T11:00:00Z,0.081,19.906,81.38,884.973,78.084,11934.691,23.961,0.652,917.722,78.065,11932.939,23.967,0.653
2026-05-26T12:00:00Z,3.295,19.912,78.272,975.285,78.08,11929.757,23.968,0.653,889.008,78.103,11931.19,23.973,0.652
2026-05-26T13:00:00Z,-2.348,19.802,84.217,829.729,78.549,11524.99,23.755,0.631,856.169,78.562,11531.377,23.758,0.631
2026-05-26T14:00:00Z,2.711,19.612,81.313,967.542,79.437,10750.369,23.372,0.591,866.69,79.464,10748.471,23.371,0.59
2026-05-26T15:00:00Z,-3.493,19.348,87.77,844.503,80.742,9643.141,22.831,0.536,939.122,80.816,9643.935,22.819,0.533
2026-05-26T16:00:00Z,0.137,18.988,88.952,923.991,82.296,8291.301,22.149,0.473,865.007,82.333,8288.809,22.144,0.471
2026-05-26T17:00:00Z,-1.655,18.596,90.817,948.145,84.121,6780.46,21.389,0.405,874.206,84.063,6780.977,21.385,0.406
2026-05-26T18:00:00Z,4.854,18.15,92.635,902.599,85.848,5219.411,20.604,0.344,841.625,85.898,5218.284,20.616,0.343
2026-05-26T19:00:00Z,-5.509,17.747,91.786,869.638,87.674,3710.526,19.851,0.286,867.834,87.687,3712.59,19.859,0.286
2026-05-26T20:00:00Z,5.721,17.361,88.865,919.521,89.232,2360.527,19.178,0.239,934.011,89.267,2356.451,19.182,0.239
2026-05-26T21:00:00Z,-3.549,17.055,87.069,936.981,90.531,1254.917,18.636,0.203,883.798,90.535,1258.065,18.627,0.203
2026-05-26T22:00:00Z,1.515,16.825,87.635,888.995,91.425,468.743,18.247,0.18,878.387,91.415,474.563,18.239,0.18
2026-05-26T23:00:00Z,-3.156,16.699,87.801,872.549,91.929,76.036,18.03,0.167,844.033,91.94,75.052,18.024,0.167
2026-05-27T00:00:00Z,1.64,16.698,87.156,884.132,91.918,75.39,18.032,0.167,904.283,91.936,73.729,18.042,0.167
2026-05-27T01:00:00Z,-0.467,16.81,89.05,832.864,91.399,470.88,18.236,0.18,999.388,91.451,470.116,18.226,0.179
2026-05-27T02:00:00Z,-1.321,17.037,90.906,806.641,90.501,1253.089,18.624,0.204,861.924,90.486,1251.739,18.634,0.204
2026-05-27T03:00:00Z,0.462,17.36,88.943,911.974,89.258,2353.913,19.173,0.239,908.711,89.198,2360.268,19.19,0.24
2026-05-27T04:00:00Z,1.549,17.731,90.702,907.549,87.625,3711.319,19.847,0.287,926.157,87.679,3707.768,19.856,0.286
2026-05-27T05:00:00Z,1.9,18.164,94.009,859.901,85.914,5220.451,20.606,0.342,871.94,85.925,5220.567,20.612,0.342
2026-05-27T06:00:00Z,-2.866,18.585,93.076,885.456,84.074,6780.009,21.39,0.406,829.958,84.052,6784.523,21.389,0.406
2026-05-27T07:00:00Z,0.012,18.988,89.04,911.137,82.3,8287.45,22.15,0.473,846.401,82.329,8286.079,22.142,0.471
2026-05-27T08:00:00Z,0.605,19.338,83.47,980.197,80.771,9640.221,22.817,0.534,897.73,80.725,9641.094,22.813,0.536
2026-05-27T09:00:00Z,-2.776,19.633,84.854,854.96,79.494,10749.491,23.383,0.59,964.728,79.469,10748.326,23.37,0.59
2026-05-27T10:00:00Z,4.14,19.811,81.386,919.576,78.539,11526.69,23.767,0.631,836.233,78.491,11523.968,23.758,0.633
